,Holiday,Year,Month,Day,Hour,Minute,DofW,Weekend,Normal,Actual,Anomaly,Unit,area
4060,0,2016,2,13,23,0,5,1,3567.936702111667,2911.5436568796936,-656.3930452319732,GWh,ch
4061,0,2016,2,14,23,0,6,1,3512.5829920987503,2828.3388484508723,-684.244143647878,GWh,ch
4062,0,2016,2,15,23,0,0,0,3456.9819939522913,2787.6947218907917,-669.2872720614996,GWh,ch
4063,0,2016,2,16,23,0,1,0,3401.653197007292,2745.6649570107197,-655.9882399965722,GWh,ch
4064,0,2016,2,17,23,0,2,0,3347.0008326275,2705.438731211732,-641.5621014157682,GWh,ch
4065,0,2016,2,18,23,0,3,0,3293.0249008177084,2665.446568133432,-627.5783326842766,GWh,ch
4066,0,2016,2,19,23,0,4,0,3239.7254015675003,2640.076502157662,-599.6488994098381,GWh,ch
4067,0,2016,2,20,23,0,5,1,3187.1023348777085,2622.1892588050064,-564.9130760727021,GWh,ch
4068,0,2016,2,21,23,0,6,1,3135.155700752708,2541.5944379288308,-593.5612628238773,GWh,ch
4069,0,2016,2,22,23,0,0,0,3083.8854991929165,2503.0435351591127,-580.8419640338038,GWh,ch
4070,0,2016,2,23,23,0,1,0,3033.291730203125,2457.5842015330113,-575.7075286701138,GWh,ch
4071,0,2016,2,24,23,0,2,0,2983.374393778125,2405.774485175099,-577.599908603026,GWh,ch
4072,0,2016,2,25,23,0,3,0,2934.1334899131252,2351.1408553763417,-582.9926345367835,GWh,ch
4073,0,2016,2,26,23,0,4,0,2885.569018613333,2306.1672041871016,-579.4018144262313,GWh,ch
4074,0,2016,2,27,23,0,5,1,2837.8571341960414,2283.723571318807,-554.1335628772345,GWh,ch
4075,0,2016,2,28,23,0,6,1,2809.935102951667,2375.2787209854787,-434.6563819661883,GWh,ch
4076,0,2016,3,1,23,0,1,0,2754.206401592708,2318.481596776618,-435.72480481609,GWh,ch
4077,0,2016,3,2,23,0,2,0,2714.8836630979167,2297.784088949575,-417.0995741483416,GWh,ch
4078,0,2016,3,3,23,0,3,0,2676.2408086079167,2273.94660298747,-402.2942056204465,GWh,ch
4079,0,2016,3,4,23,0,4,0,2638.2778381283333,2261.5818098587047,-376.69602826962864,GWh,ch
4080,0,2016,3,5,23,0,5,1,2600.9947516583334,2243.7453795530814,-357.24937210525195,GWh,ch
4081,0,2016,3,6,23,0,6,1,2564.391549193542,2120.86193743658,-443.5296117569619,GWh,ch
4082,0,2016,3,7,23,0,0,0,2528.46823073875,2081.4769700471193,-446.99126069163094,GWh,ch
4083,0,2016,3,8,23,0,1,0,2493.22479628875,2038.4427132750825,-454.7820830136675,GWh,ch
4084,0,2016,3,9,23,0,2,0,2458.661245849167,1997.3117195330158,-461.349526316151,GWh,ch
4085,0,2016,3,10,23,0,3,0,2424.7775794191666,1957.2820838147566,-467.49549560441005,GWh,ch
4086,0,2016,3,11,23,0,4,0,2391.5737969995835,1923.9236425071033,-467.65015449248017,GWh,ch
